ToyRCCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.5913999999999999,0.5574,0.6254,0.5405263157894737,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.5913999999999999,0.5405263157894737,0.5,1.0,0.6666666666666666
harmonic mean,,0.5894453161988502,0.5405263157894737,0.5,1.0,0.6666666666666666
source harmonic mean,,0.5574,0.5405263157894737,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6254,0.5405263157894737,0.5,1.0,0.6666666666666666

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.5913999999999999,0.5405263157894737,0.5,1.0,0.6666666666666666
"harmonic mean over all machine types, sections, and domains",,0.5894453161988502,0.5405263157894737,0.5,1.0,0.6666666666666666
"source harmonic mean over all machine types, sections, and domains",,0.5574,0.5405263157894737,0.5,1.0,0.6666666666666666
"target harmonic mean over all machine types, sections, and domains",,0.6254,0.5405263157894737,0.5,1.0,0.6666666666666666

official score,,0.5721839506863724
official score ci95,,0.00031448989552738764

