ToyRCCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.5659000000000001,0.44179999999999997,0.6900000000000002,0.5536842105263158,0.5,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.5659000000000001,0.5536842105263158,0.5,1.0,0.6666666666666666
harmonic mean,,0.5386852800848208,0.5536842105263158,0.5,1.0,0.6666666666666666
source harmonic mean,,0.44179999999999997,0.5536842105263158,0.5,1.0,0.6666666666666666
target harmonic mean,,0.6900000000000002,0.5536842105263158,0.5,1.0,0.6666666666666666

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.5659000000000001,0.5536842105263158,0.5,1.0,0.6666666666666666
"harmonic mean over all machine types, sections, and domains",,0.5386852800848208,0.5536842105263158,0.5,1.0,0.6666666666666666
"source harmonic mean over all machine types, sections, and domains",,0.44179999999999997,0.5536842105263158,0.5,1.0,0.6666666666666666
"target harmonic mean over all machine types, sections, and domains",,0.6900000000000002,0.5536842105263158,0.5,1.0,0.6666666666666666

official score,,0.5435938095211729
official score ci95,,0.00031475325663015845

