ToyRCCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.6007,0.4634000000000001,0.738,0.5347368421052632,0.6666666666666666,1.0,0.24,0.02,0.3529411764705882,0.0392156862745098
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.6007,0.5347368421052632,0.8333333333333333,0.13,0.196078431372549
harmonic mean,,0.5693177959047778,0.5347368421052632,0.8,0.036923076923076927,0.07058823529411765
source harmonic mean,,0.4634000000000001,0.5347368421052632,0.6666666666666666,0.24,0.3529411764705882
target harmonic mean,,0.738,0.5347368421052632,1.0,0.02,0.0392156862745098

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.6007,0.5347368421052632,0.8333333333333333,0.13,0.196078431372549
"harmonic mean over all machine types, sections, and domains",,0.5693177959047778,0.5347368421052632,0.8,0.036923076923076927,0.07058823529411765
"source harmonic mean over all machine types, sections, and domains",,0.4634000000000001,0.5347368421052632,0.6666666666666666,0.24,0.3529411764705882
"target harmonic mean over all machine types, sections, and domains",,0.738,0.5347368421052632,1.0,0.02,0.0392156862745098

official score,,0.5573043380388389
official score ci95,,0.00028283755843162134

