ToyRCCar
section,AUC (all),AUC (source),AUC (target),pAUC,precision (source),precision (target),recall (source),recall (target),F1 score (source),F1 score (target)
00,0.5862,0.4904,0.682,0.5568421052631579,0.7142857142857143,0.0,0.5,0.0,0.588235294117647,0.0
,,AUC,pAUC,precision,recall,F1 score
arithmetic mean,,0.5862,0.5568421052631579,0.35714285714285715,0.25,0.2941176470588235
harmonic mean,,0.5705438416922552,0.5568421052631579,4.440892098500625e-16,4.440892098500624e-16,4.440892098500624e-16
source harmonic mean,,0.4904,0.5568421052631579,0.7142857142857143,0.5,0.588235294117647
target harmonic mean,,0.682,0.5568421052631579,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16

,,AUC,pAUC,precision,recall,F1 score
"arithmetic mean over all machine types, sections, and domains",,0.5862,0.5568421052631579,0.35714285714285715,0.25,0.2941176470588235
"harmonic mean over all machine types, sections, and domains",,0.5705438416922552,0.5568421052631579,4.440892098500625e-16,4.440892098500624e-16,4.440892098500624e-16
"source harmonic mean over all machine types, sections, and domains",,0.4904,0.5568421052631579,0.7142857142857143,0.5,0.588235294117647
"target harmonic mean over all machine types, sections, and domains",,0.682,0.5568421052631579,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16

official score,,0.5659022841966332
official score ci95,,0.00032337718517630974

